"method_id","method_name","source","source_line","plot_name","image_path","status","explanation","code","error"
"linear_regression","Linear Regression","Original Reference",147,"source_plot_001","images/original_001_source_plot_001.png","success","该图来自原始 linear_regression 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"independence_test","Independence Test","Original Reference",162,"source_plot_002","images/original_002_source_plot_002.png","success","该图来自原始 independence_test 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"correlation","Correlation","Original Reference",187,"chi_mosaic","images/original_003_chi_mosaic.png","success","颜色表示关系的方向和强度；格子或数字用于比较变量之间最强和最弱的联系。","ggcorrplot(cr, lab = TRUE, hc.order = TRUE)",""
"partial_correlation","Partial Correlation","Original Reference",213,"source_plot_004","images/original_004_source_plot_004.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","edge.color = ifelse(pcor_mat > 0, ""red"", ""blue""),",""
"partial_correlation","Partial Correlation","Original Reference",216,"source_plot_005","images/original_005_source_plot_005.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","library(ppcor)",""
"partial_correlation","Partial Correlation","Original Reference",217,"source_plot_006","images/original_006_source_plot_006.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","ppcor_test=ppcor::pcor(test1[-1,-1])",""
"partial_correlation","Partial Correlation","Original Reference",268,"pcor_ptest_image","images/original_007_pcor_ptest_image.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_node_text(aes(label = name), repel = TRUE) +",""
"correlation","Correlation","Original Reference",321,"pcor_vs_corr","images/original_008_pcor_vs_corr.png","success","该图来自原始 correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","tt=t.test(U1,mu=95) #p too high ,can not reject Ho:mean=95",""
"correlation","Correlation","Original Reference",340,"source_plot_009","images/original_009_source_plot_009.png","success","该图来自原始 correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","y = ""Mean Prob"",",""
"correlation","Correlation","Original Reference",365,"source_plot_010","images/original_010_source_plot_010.png","success","形状展示不同组的分布；箱体、密度宽度或山脊高度用于比较中心、离散程度和尾部。","Violin=ggplot(UScrime, aes(x = factor(So), y = Prob)) +",""
"anova","ANOVA","Original Reference",380,"ttest_result","images/original_011_ttest_result.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x <- as.data.table(readRDS(file=""WIDE_ALLX""))",""
"anova","ANOVA","Original Reference",386,"source_plot_012","images/original_012_source_plot_012.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x[, .(date, `UNITED STATES US Employees on Nonfarm Payrolls Total MoM Net Change SA`)],",""
"anova","ANOVA","Original Reference",395,"Violin","images/original_013_Violin.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","by = ""date""",""
"anova","ANOVA","Original Reference",444,"p_10y","images/original_014_p_10y.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"anova","ANOVA","Original Reference",477,"p1","images/original_015_p1.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","y = ""NFP""",""
"anova","ANOVA","Original Reference",486,"p2","images/original_016_p2.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","breaks = quantile(NFP, probs = seq(0, 1, by = 0.25), na.rm = TRUE),",""
"anova","ANOVA","Original Reference",501,"p3","images/original_017_p3.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","merged_dt=na.locf(merged_dt) %>% na.omit()",""
"anova","ANOVA","Original Reference",543,"source_plot_018","images/original_018_source_plot_018.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"anova","ANOVA","Original Reference",551,"source_plot_019","images/original_019_source_plot_019.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","rel_min_height = 0.01, # 去掉尾巴的极小值",""
"anova","ANOVA","Original Reference",556,"change10y_NFP_cat_plot_violin","images/original_020_change10y_NFP_cat_plot_violin.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x = ""Change in 10Y Yield"",",""
"anova","ANOVA","Original Reference",574,"change10y_NFP_cat_plot_ridge","images/original_021_change10y_NFP_cat_plot_ridge.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# plot(afit2)",""
"anova","ANOVA","Original Reference",597,"tuk_plot","images/original_022_tuk_plot.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_errorbar(aes(ymin = emmean - SE, ymax = emmean + SE), width = 0.2) +",""
"anova","ANOVA","Original Reference",611,"source_plot_023","images/original_023_source_plot_023.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","sapply(list(Risk_cat,NFP_cat,`10y`),FUN=class)",""
"anova","ANOVA","Original Reference",624,"NFP_RISK_Effect","images/original_024_NFP_RISK_Effect.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","type = ""b"",",""
"ancova","ANCOVA","Original Reference",650,"NFP_RISK_CAT_Interact1","images/original_025_NFP_RISK_CAT_Interact1.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#each NFP_cat's variance on 10y remain same",""
"ancova","ANCOVA","Original Reference",662,"acova_as1","images/original_026_acova_as1.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#Assumption 5 — Normality of Residuals",""
"ancova","ANCOVA","Original Reference",669,"acova_as2","images/original_027_acova_as2.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#then do ancova,在控制 Risk 后，不同 NFP_cat 的 10y“调整后均值”是否仍然不同。",""
"ancova","ANCOVA","Original Reference",682,"acova_as3","images/original_028_acova_as3.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",")",""
"ancova","ANCOVA","Original Reference",707,"acova_mean","images/original_029_acova_mean.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","subtitle = ""Grey = raw mean, Red = adjusted mean""",""
"manova","MANOVA","Original Reference",722,"acova_mean_adjustedmean","images/original_030_acova_mean_adjustedmean.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","labs(",""
"manova","MANOVA","Original Reference",747,"manova_dist","images/original_031_manova_dist.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#outlier",""
"manova","MANOVA","Original Reference",757,"source_plot_032","images/original_032_source_plot_032.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","chi_sorted <- chi[ord]",""
"manova","MANOVA","Original Reference",758,"source_plot_033","images/original_033_source_plot_033.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","plot(chi_sorted, d_sorted,",""
"manova","MANOVA","Original Reference",767,"manova_Tukey","images/original_034_manova_Tukey.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","md_df <- data.frame(",""
"manova","MANOVA","Original Reference",788,"source_plot_035","images/original_035_source_plot_035.png","success","该图来自原始 manova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# sample_idx <- sample(nrow(test2), 500)  # 抽 500 个样本",""
"poisson_glm","Poisson GLM","Original Reference",805,"manova_MQQplot","images/original_036_manova_MQQplot.png","success","该图来自原始 poisson_glm 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","summary(pfit)",""
"poisson_glm","Poisson GLM","Original Reference",846,"source_plot_037","images/original_037_source_plot_037.png","success","该图来自原始 poisson_glm 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","dispersion <- sum(pearson_res^2) / pfit$df.residual",""
"poisson_glm","Poisson GLM","Original Reference",855,"source_plot_038","images/original_038_source_plot_038.png","success","该图来自原始 poisson_glm 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","plot(breslow.dat$order_id, breslow.dat$sumY,",""
"poisson_glm","Poisson GLM","Original Reference",869,"source_plot_039","images/original_039_source_plot_039.png","success","该图来自原始 poisson_glm 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","lwd=c(1,2))",""
"logistic_regression","Logistic Regression","Original Reference",890,"source_plot_040","images/original_040_source_plot_040.png","success","该图来自原始 logistic_regression 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","test3=test3[,CAD_ON:=na.locf(CAD_ON,na.rm=F)]",""
"logistic_regression","Logistic Regression","Original Reference",913,"possion_predict_plot_1","images/original_041_possion_predict_plot_1.png","success","该图来自原始 logistic_regression 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","logfit <- glm(",""
"roc","ROC","Original Reference",975,"confusion_matrix","images/original_042_confusion_matrix.png","success","曲线展示不同分类阈值下的真阳性率与假阳性率；越靠近左上角通常代表区分能力越好。","plot(roc_obj)      # ROC 曲线",""
"roc","ROC","Original Reference",989,"confusion_matrix_ratio","images/original_043_confusion_matrix_ratio.png","success","曲线展示不同分类阈值下的真阳性率与假阳性率；越靠近左上角通常代表区分能力越好。","title = ""ROC Curve — USDCAD Direction Model"",",""
"roc","ROC","Original Reference",1010,"source_plot_044","images/original_044_source_plot_044.png","success","该图来自原始 roc 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","hjust = 0",""
"roc","ROC","Original Reference",1015,"ROC_Plot","images/original_045_ROC_Plot.png","success","该图来自原始 roc 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"arima","ARIMA","Original Reference",1079,"Kfold_roc","images/original_046_Kfold_roc.png","success","该图来自原始 arima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","frequency = 365)  # 日频率",""
"arima","ARIMA","Original Reference",1085,"Kfold_Sensitivity","images/original_047_Kfold_Sensitivity.png","success","该图来自原始 arima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","delta_subset <- window(delta_ts, start=c(2012, 32), end=c(2012, 74))",""
"sarima","SARIMA","Original Reference",1121,"source_plot_048","images/original_048_source_plot_048.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#fit model!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",""
"sarima","SARIMA","Original Reference",1125,"source_plot_049","images/original_049_source_plot_049.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","fc <- predict(tsarimafit, n.ahead = 30)",""
"sarima","SARIMA","Original Reference",1128,"source_plot_050","images/original_050_source_plot_050.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","frequency = frequency(delta_ts))",""
"sarima","SARIMA","Original Reference",1131,"TS_STL","images/original_051_TS_STL.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","ts_t <- time(pred_ts)   # 年 + 小数",""
"sarima","SARIMA","Original Reference",1139,"Delta10Y_Monthly_plot","images/original_052_Delta10Y_Monthly_plot.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"sarima","SARIMA","Original Reference",1140,"source_plot_053","images/original_053_source_plot_053.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# 转成实际日期",""
"sarima","SARIMA","Original Reference",1152,"source_plot_054","images/original_054_source_plot_054.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"sarima","SARIMA","Original Reference",1153,"source_plot_055","images/original_055_source_plot_055.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# BIC / Schwarz criterion",""
"sarima","SARIMA","Original Reference",1164,"source_plot_056","images/original_056_source_plot_056.png","success","该图来自原始 sarima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","lines(fit_values, col=""red"", lty=2)",""
"arima","ARIMA","Original Reference",1196,"source_plot_057","images/original_057_source_plot_057.png","success","该图来自原始 arima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","adf.test(tsfit1$residuals)",""
"arima","ARIMA","Original Reference",1198,"source_plot_058","images/original_058_source_plot_058.png","success","该图来自原始 arima 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","library(FinTS)",""
"garch","ARCH / GARCH","Original Reference",1207,"AutoArima_plot1","images/original_059_AutoArima_plot1.png","success","柱线表示不同滞后期的相关性；明显超出参考范围的柱线说明序列仍有可解释结构。","ggPacf(e2) + labs(title = ""PACF of Squared Residuals"")#主要看pacf确定q，ACF 拖很长尾用 GARCH，而不是高阶 ARCH",""
"garch","ARCH / GARCH","Original Reference",1219,"AutoArima_residual_plot","images/original_060_AutoArima_residual_plot.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","distribution.model = ""norm""",""
"garch","ARCH / GARCH","Original Reference",1223,"AutoArimaResidual_ACF","images/original_061_AutoArimaResidual_ACF.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","spec = spec_arch1,",""
"garch","ARCH / GARCH","Original Reference",1224,"AutoArimaResidual_PACF","images/original_062_AutoArimaResidual_PACF.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","data = tsfit1$residuals",""
"garch","ARCH / GARCH","Original Reference",1241,"source_plot_063","images/original_063_source_plot_063.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","variance.model = list(",""
"garch","ARCH / GARCH","Original Reference",1242,"source_plot_064","images/original_064_source_plot_064.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","model = ""sGARCH"",",""
"garch","ARCH / GARCH","Original Reference",1269,"source_plot_065","images/original_065_source_plot_065.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","fit_arima <- arima(CAD10Y_ts,order=c(5,1,2))",""
"garch","ARCH / GARCH","Original Reference",1296,"Original_TS_Plot","images/original_066_Original_TS_Plot.png","success","柱线表示不同滞后期的相关性；明显超出参考范围的柱线说明序列仍有可解释结构。","ggPacf(e2) + labs(title = ""PACF of Squared Residuals"")",""
"garch","ARCH / GARCH","Original Reference",1313,"CAD10Y_ARIMA_Compare","images/original_067_CAD10Y_ARIMA_Compare.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",")",""
"garch","ARCH / GARCH","Original Reference",1324,"CAD10Y_res_ACF","images/original_068_CAD10Y_res_ACF.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","time  = time(fc_arima$mean),",""
"garch","ARCH / GARCH","Original Reference",1325,"CAD10Y_res_PACF","images/original_069_CAD10Y_res_PACF.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","mean  = as.numeric(fc_arima$mean),",""
"garch","ARCH / GARCH","Original Reference",1330,"source_plot_070","images/original_070_source_plot_070.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#garch range",""
"garch","ARCH / GARCH","Original Reference",1331,"source_plot_071","images/original_071_source_plot_071.png","success","线或点比较模型结果与实际数据；两者越接近，模型在该部分的拟合或预测越一致。","garch_fc <- ugarchforecast(",""
"garch","ARCH / GARCH","Original Reference",1353,"source_plot_072","images/original_072_source_plot_072.png","success","该图来自原始 garch 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","dt_fc <- rbind(dt_arima_fc, dt_garch_fc)",""
"efa","EFA","Original Reference",1390,"Arima_Garch_Auto_Plot","images/original_073_Arima_Garch_Auto_Plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","cor_matrix,",""
"efa","EFA","Original Reference",1424,"EFA_Corr","images/original_074_EFA_Corr.png","success","点表示样本或时点，箭头、颜色或位置表示变量对主成分或因子的贡献方向。","loadings_df <- as.data.frame(unclass(efa_varimax$loadings))",""
"efa","EFA","Original Reference",1473,"EFA_Loading_Coef_Plot","images/original_075_EFA_Loading_Coef_Plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",")",""
"efa","EFA","Original Reference",1517,"EFA_Loading_Factor_Compare","images/original_076_EFA_Loading_Factor_Compare.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"efa","EFA","Original Reference",1538,"source_plot_077","images/original_077_source_plot_077.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x = """",",""
"efa","EFA","Original Reference",1540,"EFA_Factor_Score_CORR","images/original_078_EFA_Factor_Score_CORR.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",")",""
"efa","EFA","Original Reference",1563,"EFA_D10_Factor","images/original_079_EFA_D10_Factor.png","success","点表示样本或时点，箭头、颜色或位置表示变量对主成分或因子的贡献方向。","model_factor <- lm(delta10y ~ ML1 + ML2 + ML3, data=cbind(efa_data, scores))",""
"efa","EFA","Original Reference",1583,"EFA_D10_Binary_Logistic_plot","images/original_080_EFA_D10_Binary_Logistic_plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"efa","EFA","Original Reference",1609,"EFA_Factor_TS_plot","images/original_081_EFA_Factor_TS_plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","names_to = ""Metric"",",""
"efa","EFA","Original Reference",1648,"EFA_Compare_Statstic","images/original_082_EFA_Compare_Statstic.png","success","线或点比较模型结果与实际数据；两者越接近，模型在该部分的拟合或预测越一致。","lines(fitted(model_raw), col=""blue"", lwd=2)",""
"efa","EFA","Original Reference",1665,"EFA_Factor_Estimate_plot","images/original_083_EFA_Factor_Estimate_plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_line(linewidth = 0.8,alpha=0.5) +",""
"efa","EFA","Original Reference",1679,"source_plot_084","images/original_084_source_plot_084.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","par(mfrow=c(1,2))",""
"efa","EFA","Original Reference",1699,"EFA_Compare_plot","images/original_085_EFA_Compare_plot.png","success","该图来自原始 efa 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_point(alpha = 0.5, color = ""#1b9e77"") +",""
"var","VAR","Original Reference",1715,"source_plot_086","images/original_086_source_plot_086.png","success","该图来自原始 var 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","p=2 #should be lag_select",""
"var","VAR","Original Reference",1721,"source_plot_087","images/original_087_source_plot_087.png","success","图形展示变量之间的动态影响；线、面积或柱高表示冲击强度、贡献或预测关系。","grangertest(var_data_diff[,1] ~ var_data_diff[,2], order=2)#var_data_diff was converted to matrix",""
"var","VAR","Original Reference",1727,"Raw_Fit_Actual_plot_EFA","images/original_088_Raw_Fit_Actual_plot_EFA.png","success","该图来自原始 var 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"var","VAR","Original Reference",1733,"Factor_Fit_Actual_plot_EFA","images/original_089_Factor_Fit_Actual_plot_EFA.png","success","该图来自原始 var 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","data.frame(",""
"granger","Granger Causality","Original Reference",1783,"VAR_Granger_Strength","images/original_090_VAR_Granger_Strength.png","success","该图来自原始 granger 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","gc_mat <- matrix(",""
"granger","Granger Causality","Original Reference",1898,"IRF_EFA_Impulse_Plot","images/original_091_IRF_EFA_Impulse_Plot.png","success","该图来自原始 granger 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",") +",""
"pca","PCA","Original Reference",1926,"FEVD_VAR_Decomp","images/original_092_FEVD_VAR_Decomp.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#scree plot",""
"pca","PCA","Original Reference",1963,"source_plot_093","images/original_093_source_plot_093.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","color = ""steelblue""",""
"pca","PCA","Original Reference",1969,"PCA_Scree_Plot","images/original_094_PCA_Scree_Plot.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"pca","PCA","Original Reference",1977,"source_plot_095","images/original_095_source_plot_095.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"pca","PCA","Original Reference",1978,"source_plot_096","images/original_096_source_plot_096.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# 变量名字",""
"pca","PCA","Original Reference",1982,"source_plot_097","images/original_097_source_plot_097.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","color = ""red"",",""
"pca","PCA","Original Reference",1992,"PCA_Biplot","images/original_098_PCA_Biplot.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",")",""
"pca","PCA","Original Reference",2062,"Rolling_PCA","images/original_099_Rolling_PCA.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"pca","PCA","Original Reference",2074,"PC1_Regime_Change","images/original_100_PC1_Regime_Change.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","aes(x = PC1_all, y = PC2_all, fill = regime_all, color = regime_all),",""
"pca","PCA","Original Reference",2101,"PCA_Biplot2","images/original_101_PCA_Biplot2.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","fill = ""Regime_all"") +",""
"pca","PCA","Original Reference",2140,"PCA_Loading_plot","images/original_102_PCA_Loading_plot.png","success","该图来自原始 pca 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","plotdat$state <- rownames(plotdat)",""
"granger","Granger Causality","Original Reference",2157,"source_plot_103","images/original_103_source_plot_103.png","success","该图来自原始 granger 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#p small <- can predict",""
"granger","Granger Causality","Original Reference",2158,"source_plot_104","images/original_104_source_plot_104.png","success","图形展示变量之间的动态影响；线、面积或柱高表示冲击强度、贡献或预测关系。","# lmtest::grangertest(delta10y ~ ML2, order = 2)",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2159,"source_plot_105","images/original_105_source_plot_105.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","###Bayes Naive vs Guassian--------",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2160,"source_plot_106","images/original_106_source_plot_106.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#Bayes scenario EV calculation----",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2172,"source_plot_107","images/original_107_source_plot_107.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","mu = mean(usdcad_next, na.rm=TRUE),",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2179,"source_plot_108","images/original_108_source_plot_108.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","tsx_sd = sd(TSXC_ret),",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2293,"source_plot_109","images/original_109_source_plot_109.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。",") +",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2298,"source_plot_110","images/original_110_source_plot_110.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2314,"Bayer_Posteior_scenary","images/original_111_Bayer_Posteior_scenary.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2356,"Bayers_Scatter","images/original_112_Bayers_Scatter.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# 核密度",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2372,"Bayers_Cum_return","images/original_113_Bayers_Cum_return.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","fill = ""yellow"",",""
"bayesian_scenario","Bayesian Scenario Analysis","Original Reference",2390,"Bayers_Kernal_ret","images/original_114_Bayers_Kernal_ret.png","success","该图来自原始 bayesian_scenario 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","list(",""
"independence_test","Independence Test","Current App",NA,"Observed counts","images/app_independence_test_01.png","success","This chart asks how closely model results follow the observed data. In this figure, bar height shows the size of each value. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
