DES,ticker
SOFTS - ICE SUGAR N11 Non Comercial Spreading,CSC1SNCP Index
SOFTS - ICE SUGAR N11 Commercial Long,CSC1SCOL Index
SOFTS - ICE SUGAR N11 Commercial Short,CSC1SCOS Index
SOFTS - ICE SUGAR N11 Total Long,NYM1ETLL Index
SOFTS - ICE SUGAR N11 Total Short,NYM1ETLS Index
SOFTS - ICE SUGAR N11 Open Interest,CSC1SOIN Index
SOFTS - ICE SUGAR N11 Non Reportable Long,CSC1SNRL Index
SOFTS - ICE SUGAR N11 Non Reportable Short,CSC1SNRS Index
SOFTS - ICE SUGAR N11 Managed Money Long,CFFDLMML Index
SOFTS - ICE SUGAR N11 Managed Money Short,CFFDLMMS Index
SOFTS - ICE SUGAR N11 Producer Long,CFFDLPML Index
SOFTS - ICE SUGAR N11 Producer Short,CFFDLPMS Index
SOFTS - ICE SUGAR N11 Swap Dealers Long,CFFDLSWL Index
SOFTS - ICE SUGAR N11 Swap Dealers Short,CFFDLSWS Index
SOFTS - ICE SUGAR N11 Swap Dealers Spreading,CFFDLSWD Index
SOFTS - ICE SUGAR N11 Managed Money Spread,CFFDLMMD Index
SOFTS - ICE SUGAR N11 Other Reportables Long,CFFDLORL Index
SOFTS - ICE SUGAR N11 Other Reportables Short,CFFDLORS Index
SOFTS - ICE SUGAR N11 Other Reportables Spreading,CFFDLORD Index
SOFTS - ICE SUGAR N11 Non Commercial Net Position,CSC1SNCN Index
SOFTS - ICE FROZEN ORANGE JUICE 1st Contract Price,JO1 Comdty
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Long,CAN1ONCL Index
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Short,CAN1ONCS Index
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Spreading,CAN1ONCP Index
SOFTS - ICE FROZEN ORANGE JUICE Commercial Long,CAN1OCOL Index
SOFTS - ICE FROZEN ORANGE JUICE Commercial Short,CAN1OCOS Index
SOFTS - ICE FROZEN ORANGE JUICE Total Long,CAN1OTLL Index
SOFTS - ICE FROZEN ORANGE JUICE Total Short,CAN1OTLS Index
SOFTS - ICE FROZEN ORANGE JUICE Open Interest,CAN1OOIN Index
SOFTS - ICE FROZEN ORANGE JUICE Non Reportable Long,CAN1ONRL Index
SOFTS - ICE FROZEN ORANGE JUICE Non Reportable Short,CAN1ONRS Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Long,DFU2IMML Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Short,DFU2IMMS Index
SOFTS - ICE FROZEN ORANGE JUICE Producer Long,DFU2IPML Index
SOFTS - ICE FROZEN ORANGE JUICE Producer Short,DFU2IPMS Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Long,DFU2ISWL Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Short,DFU2ISWS Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Spreading,DFU2ISWD Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Spread,DFU2IMMD Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Long,DFU2IORL Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Short,DFU2IORS Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Spreading,DFU2IORD Index
SOFTS - ICE FROZEN ORANGE JUICE Non Commercial Net Position,CAN1ONCN Index
SOFTS - ICE COCOA 1st Contract Price,CC1 Comdty
SOFTS - ICE COCOA Non Comercial Long,CSC1CNCL Index
SOFTS - ICE COCOA Non Comercial Short,CSC1CNCS Index
SOFTS - ICE COCOA Non Comercial Spreading,CSC1CNCP Index
SOFTS - ICE COCOA Commercial Long,CSC1CCOL Index
SOFTS - ICE COCOA Commercial Short,CSC1CCOS Index
SOFTS - ICE COCOA Total Long,CSC1CTLL Index
SOFTS - ICE COCOA Total Short,CSC1CTLS Index
SOFTS - ICE COCOA Open Interest,CSC1COIN Index
SOFTS - ICE COCOA Non Reportable Long,CSC1CNRL Index
SOFTS - ICE COCOA Non Reportable Short,CSC1CNRS Index
SOFTS - ICE COCOA Managed Money Long,CFFDKMML Index
SOFTS - ICE COCOA Managed Money Short,CFFDKMMS Index
SOFTS - ICE COCOA Producer Long,CFFDKPML Index
SOFTS - ICE COCOA Producer Short,CFFDKPMS Index
SOFTS - ICE COCOA Swap Dealers Long,CFFDKSWL Index
SOFTS - ICE COCOA Swap Dealers Short,CFFDKSWS Index
SOFTS - ICE COCOA Swap Dealers Spreading,CFFDKSWD Index
SOFTS - ICE COCOA Managed Money Spread,CFFDKMMD Index
SOFTS - ICE COCOA Other Reportables Long,CFFDKORL Index
SOFTS - ICE COCOA Other Reportables Short,CFFDKORS Index
SOFTS - ICE COCOA Other Reportables Spreading,CFFDKORD Index
SOFTS - ICE COCOA Non Commercial Net Position,CSC1CNCN Index
SOFTS - NYSE LIFFE COCOA 1st Contract Price,QC1 COMDTY
SOFTS - NYSE LIFFE COCOA Open Interest,LIFFAOIN Index
SOFTS - NYSE LIFFE COCOA Non Reportable Long,LIFFANRL Index
SOFTS - NYSE LIFFE COCOA Non Reportable Short,LIFFANRS Index
SOFTS - NYSE LIFFE COCOA Managed Money Long,DLIFAMML Index
SOFTS - NYSE LIFFE COCOA Managed Money Short,DLIFAMMS Index
SOFTS - NYSE LIFFE COCOA Producer Long,DLIFAPML Index
SOFTS - NYSE LIFFE COCOA Producer Short,DLIFAPMS Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Long,DLIFASWL Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Short,DLIFASWS Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Spreading,DLIFASWD Index
SOFTS - NYSE LIFFE COCOA Managed Money Spread,DLIFAMMD Index
SOFTS - NYSE LIFFE COCOA Other Reportables Long,DLIFAORL Index
SOFTS - NYSE LIFFE COCOA Other Reportables Short,DLIFAORS Index
SOFTS - NYSE LIFFE COCOA Other Reportables Spreading,DLIFAORD Index
SOFTS - NYSE LIFFE ROBUSTA COFFE 1st Contract Price,DF1 COMDTY
SOFTS - NYSE LIFFE ROBUSTA COFFE Open Interest,LIFFBOIN Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Non Reportable Long,LIFFBNRL Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Non Reportable Short,LIFFBNRS Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Managed Money Long,DLIFBMML Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Managed Money Short,DLIFBMMS Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Producer Long,DLIFBPML Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Producer Short,DLIFBPMS Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Swap Dealers Long,DLIFBSWL Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Swap Dealers Short,DLIFBSWS Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Swap Dealers Spreading,DLIFBSWD Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Managed Money Spread,DLIFBMMD Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Other Reportables Long,DLIFBORL Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Other Reportables Short,DLIFBORS Index
SOFTS - NYSE LIFFE ROBUSTA COFFE Other Reportables Spreading,DLIFBORD Index
FX - CME  BRITISH POUND STERLING 1st Contract Price,BP1 CURNCY
FX - CME  BRITISH POUND STERLING Non Comercial Long,IMM5PNCL Index
FX - CME  BRITISH POUND STERLING Non Comercial Short,IMM5PNCS Index
FX - CME  BRITISH POUND STERLING Non Comercial Spreading,IMM5PNCP Index
FX - CME  BRITISH POUND STERLING Commercial Long,IMM5PCOL Index
FX - CME  BRITISH POUND STERLING Commercial Short,IMM5PCOS Index
FX - CME  BRITISH POUND STERLING Total Long,IMM5PTLL Index
FX - CME  BRITISH POUND STERLING Total Short,IMM5PTLS Index
FX - CME  BRITISH POUND STERLING Open Interest,IMM5POIN Index
FX - CME  BRITISH POUND STERLING Non Reportable Long,IMM5PNRL Index
FX - CME  BRITISH POUND STERLING Non Reportable Short,IMM5PNRS Index
FX - CME  BRITISH POUND STERLING Non Commercial Net Position,IMM5PNCN Index
FX - CME EURO 1st Contract Price,EC1 CURNCY
FX - CME EURO Non Comercial Long,IMMBENCL Index
FX - CME EURO Non Comercial Short,IMMBENCS Index
FX - CME EURO Non Comercial Spreading,IMMBENCP Index
FX - CME EURO Commercial Long,IMMBECOL Index
FX - CME EURO Commercial Short,IMMBECOS Index
FX - CME EURO Total Long,IMMBETLL Index
FX - CME EURO Total Short,IMMBETLS Index
FX - CME EURO Open Interest,IMMBEOIN Index
FX - CME EURO Non Reportable Long,IMMBENRL Index
FX - CME EURO Non Reportable Short,IMMBENRS Index
FX - CME EURO Non Commercial Net Position,IMMBENCN Index
FX -CME CANADIAN DOLLAR 1st Contract Price,CD1 CURNCY
FX -CME CANADIAN DOLLAR Non Comercial Long,IMM3CNCL Index
FX -CME CANADIAN DOLLAR Non Comercial Short,IMM3CNCS Index
FX -CME CANADIAN DOLLAR Non Comercial Spreading,IMM3CNCP Index
FX -CME CANADIAN DOLLAR Commercial Long,IMM3CCOL Index
FX -CME CANADIAN DOLLAR Commercial Short,IMM3CCOS Index
FX -CME CANADIAN DOLLAR Total Long,IMM3CTLL Index
FX -CME CANADIAN DOLLAR Total Short,IMM3CTLS Index
FX -CME CANADIAN DOLLAR Open Interest,IMM3COIN Index
FX -CME CANADIAN DOLLAR Non Reportable Long,IMM3CNRL Index
FX -CME CANADIAN DOLLAR Non Reportable Short,IMM3CNRS Index
FX -CME CANADIAN DOLLAR Non Commercial Net Position,IMM3CNCN Index
FX - CME MEXICAN PESO 1st Contract Price,PE1 CURNCY
FX - CME MEXICAN PESO Non Comercial Long,IMM6MNCL Index
FX - CME MEXICAN PESO Non Comercial Short,IMM6MNCS Index
FX - CME MEXICAN PESO Non Comercial Spreading,IMM6MNCP Index
FX - CME MEXICAN PESO Commercial Long,IMM6MCOL Index
FX - CME MEXICAN PESO Commercial Short,IMM6MCOS Index
FX - CME MEXICAN PESO Total Long,IMM6MTLL Index
FX - CME MEXICAN PESO Total Short,IMM6MTLS Index
FX - CME MEXICAN PESO Open Interest,IMM6MOIN Index
FX - CME MEXICAN PESO Non Reportable Long,IMM6MNRL Index
FX - CME MEXICAN PESO Non Reportable Short,IMM6MNRS Index
FX - CME MEXICAN PESO Non Commercial Net Position,IMM6MNCN Index
FX - CME AUSTRALIAN DOLLAR 1st Contract Price,AD1 CURNCY
FX - CME AUSTRALIAN DOLLAR Non Comercial Long,IMM6ANCL Index
FX - CME AUSTRALIAN DOLLAR Non Comercial Short,IMM6ANCS Index
FX - CME AUSTRALIAN DOLLAR Non Comercial Spreading,IMM6ANCP Index
FX - CME AUSTRALIAN DOLLAR Commercial Long,IMM6ACOL Index
FX - CME AUSTRALIAN DOLLAR Commercial Short,IMM6ACOS Index
FX - CME AUSTRALIAN DOLLAR Total Long,IMM6ATLL Index
FX - CME AUSTRALIAN DOLLAR Total Short,IMM6ATLS Index
FX - CME AUSTRALIAN DOLLAR Open Interest,IMM6AOIN Index
FX - CME AUSTRALIAN DOLLAR Non Reportable Long,IMM6ANRL Index
FX - CME AUSTRALIAN DOLLAR Non Reportable Short,IMM6ANRS Index
FX - CME AUSTRALIAN DOLLAR Non Commercial Net Position,IMM6ANCN Index
FX - CME JAPANESE YEN 1st Contract Price,JY1 CURNCY
FX - CME JAPANESE YEN Non Comercial Long,IMM5JNCL Index
FX - CME JAPANESE YEN Non Comercial Short,IMM5JNCS Index
FX - CME JAPANESE YEN Non Comercial Spreading,IMM5JNCP Index
FX - CME JAPANESE YEN Commercial Long,IMM5JCOL Index
FX - CME JAPANESE YEN Commercial Short,IMM5JCOS Index
FX - CME JAPANESE YEN Total Long,IMM5JTLL Index
FX - CME JAPANESE YEN Total Short,IMM5JTLS Index
FX - CME JAPANESE YEN Open Interest,IMM5JOIN Index
FX - CME JAPANESE YEN Non Reportable Long,IMM5JNRL Index
FX - CME JAPANESE YEN Non Reportable Short,IMM5JNRS Index
FX - CME JAPANESE YEN Non Commercial Net Position,IMM5JNCN Index
FX - CME NEW ZEALAND DOLLARS 1st Contract Price,NV1 CURNCY
FX - CME NEW ZEALAND DOLLARS Non Comercial Long,IMM6ZNCL Index
FX - CME NEW ZEALAND DOLLARS Non Comercial Short,IMM6ZNCS Index
FX - CME NEW ZEALAND DOLLARS Non Comercial Spreading,IMM6ZNCP Index
FX - CME NEW ZEALAND DOLLARS Commercial Long,IMM6ZCOL Index
FX - CME NEW ZEALAND DOLLARS Commercial Short,IMM6ZCOS Index
FX - CME NEW ZEALAND DOLLARS Total Long,IMM6ZTLL Index
FX - CME NEW ZEALAND DOLLARS Total Short,IMM6ZTLS Index
FX - CME NEW ZEALAND DOLLARS Open Interest,IMM6ZOIN Index
FX - CME NEW ZEALAND DOLLARS Non Reportable Long,IMM6ZNRL Index
FX - CME NEW ZEALAND DOLLARS Non Reportable Short,IMM6ZNRS Index
FX - CME NEW ZEALAND DOLLARS Non Commercial Net Position,IMM6ZNCN Index
FX - CME SWISS FRANC 1st Contract Price,SF1 Curncy
FX - CME SWISS FRANC Non Comercial Long,IMM4SNCL Index
FX - CME SWISS FRANC Non Comercial Short,IMM4SNCS Index
FX - CME SWISS FRANC Non Comercial Spreading,IMM4SNCP Index
FX - CME SWISS FRANC Commercial Long,IMM4SCOL Index
FX - CME SWISS FRANC Commercial Short,IMM4SCOS Index
FX - CME SWISS FRANC Total Long,IMM4STLL Index
FX - CME SWISS FRANC Total Short,IMM4STLS Index
FX - CME SWISS FRANC Open Interest,IMM4SOIN Index
FX - CME SWISS FRANC Non Reportable Long,IMM2SNRL Index
FX - CME SWISS FRANC Non Reportable Short,IMM4SNRS Index
FX - CME SWISS FRANC Non Commercial Net Position,IMM4SNCN Index
FX - CME BRAZILIAN REAL 1st Contract Price,BR1 CURNCY
FX - CME BRAZILIAN REAL Non Comercial Long,IMM1VNCL Index
FX - CME BRAZILIAN REAL Non Comercial Short,IMM1VNCS Index
FX - CME BRAZILIAN REAL Non Comercial Spreading,IMM1VNCP Index
FX - CME BRAZILIAN REAL Commercial Long,IMM1VCOL Index
FX - CME BRAZILIAN REAL Commercial Short,IMM1VCOS Index
FX - CME BRAZILIAN REAL Total Long,IMM1VTLL Index
FX - CME BRAZILIAN REAL Total Short,IMM1VTLS Index
FX - CME BRAZILIAN REAL Open Interest,IMM1VOIN Index
FX - CME BRAZILIAN REAL Non Reportable Long,IMM1VNRL Index
FX - CME BRAZILIAN REAL Non Reportable Short,IMM1VNRS Index
FX - CME BRAZILIAN REAL Non Commercial Net Position,IMM1VNCN Index
FX - ICE US DOLLAR 1st Contract Price,DX1 Curncy
FX - ICE US DOLLAR Non Comercial Long,NYC2UNCL Index
FX - ICE US DOLLAR Non Comercial Short,NYC2UNCS Index
FX - ICE US DOLLAR Non Comercial Spreading,NYC2UNCP Index
FX - ICE US DOLLAR Commercial Long,NYC2UCOL Index
FX - ICE US DOLLAR Commercial Short,NYC2UCOS Index
FX - ICE US DOLLAR Total Long,NYC2UTLL Index
FX - ICE US DOLLAR Total Short,NYC2UTLS Index
FX - ICE US DOLLAR Open Interest,NYC2UOIN Index
FX - ICE US DOLLAR Non Reportable Long,NYC2UNRL Index
FX - ICE US DOLLAR Non Reportable Short,NYC2UNRS Index
FX - ICE US DOLLAR Non Commercial Net Position,NYC2UNCN Index
STOCK - CME S&P 500 STOCK INDEX 1st Contract Price,SP1 Index
STOCK - CME S&P 500 STOCK INDEX Non Comercial Long,IMM2SNCL Index
STOCK - CME S&P 500 STOCK INDEX Non Comercial Short,IMM2SNCS Index
STOCK - CME S&P 500 STOCK INDEX Non Comercial Spreading,IMM2SNCP Index
STOCK - CME S&P 500 STOCK INDEX Commercial Long,IMM2SCOL Index
STOCK - CME S&P 500 STOCK INDEX Commercial Short,IMM2SCOS Index
STOCK - CME S&P 500 STOCK INDEX Total Long,IMM2STLL Index
STOCK - CME S&P 500 STOCK INDEX Total Short,IMM2STLS Index
STOCK - CME S&P 500 STOCK INDEX Open Interest,IMM2SOIN Index
STOCK - CME S&P 500 STOCK INDEX Non Reportable Long,IMM4SNRL Index
STOCK - CME S&P 500 STOCK INDEX Non Reportable Short,IMM2SNRS Index
STOCK - CME S&P 500 STOCK INDEX Non Commercial Net Position,IMM2SNCN Index
STOCK - CME E-MINI S&P 500 1st Contract Price,ES1 Index
STOCK - CME E-MINI S&P 500 Non Comercial Long,IMM0ENCL Index
STOCK - CME E-MINI S&P 500 Non Comercial Short,IMM0ENCS Index
STOCK - CME E-MINI S&P 500 Non Comercial Spreading,IMM0ENCP Index
STOCK - CME E-MINI S&P 500 Commercial Long,IMM0ECOL Index
STOCK - CME E-MINI S&P 500 Commercial Short,IMM0ECOS Index
STOCK - CME E-MINI S&P 500 Total Long,IMM0ETLL Index
STOCK - CME E-MINI S&P 500 Total Short,IMM0ETLS Index
STOCK - CME E-MINI S&P 500 Open Interest,IMM0EOIN Index
STOCK - CME E-MINI S&P 500 Non Reportable Long,IMM0ENRL Index
STOCK - CME E-MINI S&P 500 Non Reportable Short,IMM0ENRS Index
STOCK - CME E-MINI S&P 500 Non Commercial Net Position,IMM0ENCN Index
STOCK - CME NASDAQ 100 Mini 1st Contract Price,NQ1 Index
STOCK - CME NASDAQ 100 Mini Non Comercial Long,IMM3NNCL Index
STOCK - CME NASDAQ 100 Mini Non Comercial Short,IMM3NNCS Index
STOCK - CME NASDAQ 100 Mini Non Comercial Spreading,IMM3NNCP Index
STOCK - CME NASDAQ 100 Mini Commercial Long,IMM3NCOL Index
STOCK - CME NASDAQ 100 Mini Commercial Short,IMM3NCOS Index
STOCK - CME NASDAQ 100 Mini Total Long,IMM3NTLL Index
STOCK - CME NASDAQ 100 Mini Total Short,IMM3NTLS Index
STOCK - CME NASDAQ 100 Mini Open Interest,IMM3NOIN Index
STOCK - CME NASDAQ 100 Mini Non Reportable Long,IMM3NNRL Index
STOCK - CME NASDAQ 100 Mini Non Reportable Short,IMM3NNRS Index
STOCK - CME NASDAQ 100 Mini Non Commercial Net Position,IMM3NNCN Index
STOCK - CBOT DJIA MINI 1st Contract Price,DM1 Index
STOCK - CBOT DJIA MINI Non Comercial Long,CBT1DNCL Index
STOCK - CBOT DJIA MINI Non Comercial Short,CBT1DNCS Index
STOCK - CBOT DJIA MINI Non Comercial Spreading,CBT1DNCP Index
STOCK - CBOT DJIA MINI Commercial Long,CBT1DCOL Index
STOCK - CBOT DJIA MINI Commercial Short,CBT1DCOS Index
STOCK - CBOT DJIA MINI Total Long,CBT1DTLL Index
STOCK - CBOT DJIA MINI Total Short,CBT1DTLS Index
STOCK - CBOT DJIA MINI Open Interest,CBT1DOIN Index
STOCK - CBOT DJIA MINI Non Reportable Long,CBT1DNRL Index
STOCK - CBOT DJIA MINI Non Reportable Short,CBT1DNRS Index
STOCK - CBOT DJIA MINI Non Commercial Net Position,CBT1DNCN Index
FI - CBOT 2-YR US TREASURY NOTE 1st Contract Price,TU1 comdty
FI - CBOT 2-YR US TREASURY NOTE Non Comercial Long,CBT42NCL Index
FI - CBOT 2-YR US TREASURY NOTE Non Comercial Short,CBT42NCS Index
FI - CBOT 2-YR US TREASURY NOTE Non Comercial Spreading,CBT42NCP Index
FI - CBOT 2-YR US TREASURY NOTE Commercial Long,CBT42COL Index
FI - CBOT 2-YR US TREASURY NOTE Commercial Short,CBT42COS Index
FI - CBOT 2-YR US TREASURY NOTE Total Long,CBT42TLL Index
FI - CBOT 2-YR US TREASURY NOTE Total Short,CBT42TLS Index
FI - CBOT 2-YR US TREASURY NOTE Open Interest,CBT42OIN Index
FI - CBOT 2-YR US TREASURY NOTE Non Reportable Long,CBT42NRL Index
FI - CBOT 2-YR US TREASURY NOTE Non Reportable Short,CBT42NRS Index
FI - CBOT 2-YR US TREASURY NOTE Non Commercial Net Position,CBT42NCN Index
FI - CBOT  5 YR US TREASURY NOTES 1st Contract Price,FV1 Comdty
FI - CBOT  5 YR US TREASURY NOTES Non Comercial Long,CBT55NCL Index
FI - CBOT  5 YR US TREASURY NOTES Non Comercial Short,CBT55NCS Index
FI - CBOT  5 YR US TREASURY NOTES Non Comercial Spreading,CBT55NCP Index
FI - CBOT  5 YR US TREASURY NOTES Commercial Long,CBT55COL Index
FI - CBOT  5 YR US TREASURY NOTES Commercial Short,CBT55COS Index
FI - CBOT  5 YR US TREASURY NOTES Total Long,CBT55TLL Index
FI - CBOT  5 YR US TREASURY NOTES Total Short,CBT55TLS Index
FI - CBOT  5 YR US TREASURY NOTES Open Interest,CBT55OIN Index
FI - CBOT  5 YR US TREASURY NOTES Non Reportable Long,CBT55NRL Index
FI - CBOT  5 YR US TREASURY NOTES Non Reportable Short,CBT55NRS Index
FI - CBOT  5 YR US TREASURY NOTES Non Commercial Net Position,CBT55NCN Index
FI - CBOT 10 YR US TREASURY NOTES 1st Contract Price,TY1 Comdty
FI - CBOT 10 YR US TREASURY NOTES Non Comercial Long,CBT4TNCL Index
FI - CBOT 10 YR US TREASURY NOTES Non Comercial Short,CBT4TNCS Index
FI - CBOT 10 YR US TREASURY NOTES Non Comercial Spreading,CBT4TNCP Index
FI - CBOT 10 YR US TREASURY NOTES Commercial Long,CBT4TCOL Index
FI - CBOT 10 YR US TREASURY NOTES Commercial Short,CBT4TCOS Index
FI - CBOT 10 YR US TREASURY NOTES Total Long,CBT4TTLL Index
FI - CBOT 10 YR US TREASURY NOTES Total Short,CBT4TTLS Index
FI - CBOT 10 YR US TREASURY NOTES Open Interest,CBT4TOIN Index
FI - CBOT 10 YR US TREASURY NOTES Non Reportable Long,CBT4TNRL Index
FI - CBOT 10 YR US TREASURY NOTES Non Reportable Short,CBT4TNRS Index
FI - CBOT 10 YR US TREASURY NOTES Non Commercial Net Position,CBT4TNCN Index
FI - CBOT 30 YR US TREASURY NOTES 1st Contract Price,US1 Comdty
FI - CBOT 30 YR US TREASURY NOTES Non Comercial Long,CBT3TNCL Index
FI - CBOT 30 YR US TREASURY NOTES Non Comercial Short,CBT3TNCS Index
FI - CBOT 30 YR US TREASURY NOTES Non Comercial Spreading,CBT3TNCP Index
FI - CBOT 30 YR US TREASURY NOTES Commercial Long,CBT3TCOL Index
FI - CBOT 30 YR US TREASURY NOTES Commercial Short,CBT3TCOS Index
FI - CBOT 30 YR US TREASURY NOTES Total Long,CBT3TTLL Index
FI - CBOT 30 YR US TREASURY NOTES Total Short,CBT3TTLS Index
FI - CBOT 30 YR US TREASURY NOTES Open Interest,CBT3TOIN Index
FI - CBOT 30 YR US TREASURY NOTES Non Reportable Long,CBT3TNRL Index
FI - CBOT 30 YR US TREASURY NOTES Non Reportable Short,CBT3TNRS Index
FI - CBOT 30 YR US TREASURY NOTES Non Commercial Net Position,CBT3TNCN Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS 1st Contract Price,WN1 Comdty
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Comercial Long,CBT3BNCL Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Comercial Short,CBT3BNCS Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Comercial Spreading,CBT3BNCP Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Commercial Long,CBT3BCOL Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Commercial Short,CBT3BCOS Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Total Long,CBT3BTLL Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Total Short,CBT3BTLS Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Open Interest,CBT3BOIN Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Reportable Long,CBT3BNRL Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Reportable Short,CBT3BNRS Index
FI - CBOT ULTRA-LONG U.S. TREASURY BONDS Non Commercial Net Position,CBT3BNCN Index
FI - CME 3-MONTH EURODOLLARS 1st Contract Price,ED1 COMDTY
FI - CME 3-MONTH EURODOLLARS Non Comercial Long,IMM13NCL Index
FI - CME 3-MONTH EURODOLLARS Non Comercial Short,IMM13NCS Index
FI - CME 3-MONTH EURODOLLARS Non Comercial Spreading,IMM13NCP Index
FI - CME 3-MONTH EURODOLLARS Commercial Long,IMM13COL Index
FI - CME 3-MONTH EURODOLLARS Commercial Short,IMM13COS Index
FI - CME 3-MONTH EURODOLLARS Total Long,IMM13TLL Index
FI - CME 3-MONTH EURODOLLARS Total Short,IMM13TLS Index
FI - CME 3-MONTH EURODOLLARS Open Interest,IMM13OIN Index
FI - CME 3-MONTH EURODOLLARS Non Reportable Long,IMM13NRL Index
FI - CME 3-MONTH EURODOLLARS Non Reportable Short,IMM13NRS Index
FI - CME 3-MONTH EURODOLLARS Non Commercial Net Position,IMM13NCN Index
