"ticker","DES"
"CRDN1U5 Curncy","United States RDN CDS USD SR 5Y D14"
"CPRU1U5 Curncy","United States PRU CDS USD SR 5Y D14"
"CSLMA1U5 Curncy","United States NAVI CDS USD SR 5Y D14"
"CMWD1U5 Curncy","United States MS CDS USD SR 5Y D14"
"CMET1U5 Curncy","United States MET CDS USD SR 5Y D14"
"CLNC1U5 Curncy","United States LNC CDS USD SR 5Y D14"
"CJPM1U5 Curncy","United States JPMCC CDS USD SR 5Y D14"
"CCGI1U5 Curncy","United States CINC CDS USD SR 5Y D14"
"CAIG1U5 Curncy","United States AIG CDS USD SR 5Y D14"
"CGMAC1U5 Curncy","United States ALLY CDS USD SR 5Y D14"
"CALL1U5 Curncy","United States ALL CDS USD SR 5Y D14"
"CAEGO1E5 Curncy","United States AEGON CDS EUR SR 5Y D14"
"IBOXUMAE Curncy","IG MARKIT CDX.NA.IG.45 12/30"
"IBOXHYAE Curncy","HY MARKIT CDX.NA.HY.45 12/30"
"MCDNAA5 Curncy","MCDX MARKIT MCDX.NA.35 12/25"
"ITRXEBE Curncy","United States MARKIT ITRX EUROPE 12/30"
"ITRXEXE Curncy","Germany MARKIT ITRX EUR XOVER 12/30"
"ITRXESE Curncy","EUR MARKIT ITRX SNR FIN 12/30"
"ITRXEUE Curncy","EUR MARKIT ITRX SUB FIN 12/30"
"ITRXAJE Curncy","JAPAN MARKIT ITRX 12/30"
"ITRXAGE Curncy","EXJP MARKIT ITRX ASIAXJ IG 12/30"
"ITRXAAE Curncy","AUS MARKIT ITRX AUSTRALIA 12/30"
"IBOXUME  Curncy","EM MARKIT CDX.EM.44 12/30"
"IBOXEIE Curncy","EM MARKIT CDX.EM IG.44 12/30"
"IBOXEHE Curncy","EM MARKIT CDX.EM HY.44 12/30"
"USOAIGUT Index","North America USD IG Utilities OAS"
"USOAIGTC Index","North America USD IG Technology OAS"
"USOAIGMA Index","North America USD IG Materials OAS"
"USOAIGIN Index","North America USD IG Industrial OAS"
"USOAIGHC Index","North America USD IG HealthCare OAS"
"USOAIGFS Index","North America USD IG Financials Sub OAS"
"USOAIGFI Index","North America USD IG Financials Snr OAS"
"USOAIGEN Index","North America USD IG Energy OAS"
"USOAIGCS Index","North America USD IG ConsStaple OAS"
"USOAIGCD Index","North America USD IG ConsDisc. OAS"
"USOAIGCO Index","North America USD IG Comm. OAS"
"IBOXHYSE Curncy","HY MARKIT CDX.NA.HY.45 12/30"
"USOHHYUT Index","North America USD HY Utilities OAS"
"USOHHYTC Index","North America USD HY Technology OAS"
"USOHHYMA Index","North America USD HY Materials OAS"
"USOHHYIN Index","North America USD HY Industrial OAS"
"USOHHYHC Index","North America USD HY HealthCare OAS"
"USOHHYFS Index","North America USD HY Financials Sub OAS"
"USOHHYFI Index","North America USD HY Financials Snr OAS"
"USOHHYEN Index","North America USD HY Energy OAS"
"USOHHYCS Index","North America USD HY ConsStaple OAS"
"USOHHYCD Index","North America USD HY ConsDisc. OAS"
"USOHHYCO Index","North America USD HY Comm. OAS"
"IBOXUMSE Curncy","EM MARKIT CDX.EM.44 12/30"
"USOAEMUT Index","Emerging Markets USD EM Utilities OAS"
"USOAEMTC Index","Emerging Markets USD EM Technology OAS"
"USOAEMMA Index","Emerging Markets USD EM Materials OAS"
"USOAEMIN Index","Emerging Markets USD EM Industrial OAS"
"USOAEMHC Index","Emerging Markets USD EM HealthCare OAS"
"USOAEMFS Index","Emerging Markets USD EM Financials Sub OAS"
"USOAEMFI Index","Emerging Markets USD EM Financials Snr OAS"
"USOAEMEN Index","Emerging Markets USD EM Energy OAS"
"USOAEMCS Index","Emerging Markets USD EM ConsStaple OAS"
"USOAEMCD Index","Emerging Markets USD EM ConsDisc. OAS"
"USOAEMCO Index","Emerging Markets USD EM Comm. OAS"
"CBELG1U5 Curncy","Belgium BELG CDS USD SR 5Y D14"
"CFRTR1U5 Curncy","France FRANCE CDS USD SR 5Y D14"
"CDBR1U5 Curncy","Germany GERMAN CDS USD SR 5Y D14"
"CITLY1U5 Curncy","Italy ITALY CDS USD SR 5Y D14"
"CJGB1U5 Curncy","Japan JGB CDS USD SR 5Y D14"
"CT425574 Curncy","Netherlands NETHER CDS USD SR 5Y D14"
"CT777839 Curncy","Sweden SWED CDS USD SR 5Y D14"
"CUKT1U5 Curncy","United Kingdom UK CDS USD SR 5Y D14"
"CT786896 Curncy","United States US CDS EUR SR 5Y D14"
"ISRAEL CDS USD SR 5Y Curncy","Israel ISRAEL CDS USD SR 5Y D14"
"ZCTO CDS EUR SR 5Y Curncy","United States US CDS EUR SR 5Y D14"
"GREECE CDS USD SR 5Y Curncy","Greece GREECE CDS USD SR 5Y D14"
"FRENCH CDS USD SR 5Y Curncy","France FRANCE CDS USD SR 5Y D14"
"ITALY CDS USD SR 5Y Curncy","Italy ITALY CDS USD SR 5Y D14"
"SPAIN CDS USD SR 5Y Curncy","Spain SPAIN CDS USD SR 5Y D14"
"UKT CDS USD SR 5Y Curncy","United Kingdom UK CDS USD SR 5Y D14"
"BELG CDS USD SR 5Y Curncy","Belgium BELG CDS USD SR 5Y D14"
"PORTUG CDS USD SR 5Y Curncy","Portugal PORTUG CDS USD SR 5Y D14"
"JGB CDS USD SR 5Y Curncy","Japan JGB CDS USD SR 5Y D14"
"IRELND CDS USD SR 5Y Curncy","Ireland IRELND CDS USD SR 5Y D14"
"FINL CDS USD SR 5Y Curncy","Finland FINL CDS USD SR 5Y D14"
"AUST CDS USD SR 5Y Curncy","Austria AUST CDS USD SR 5Y D14"
"AUSTLA CDS USD SR 5Y Curncy","Australia AUSTLA CDS USD SR 5Y D14"
"SWED CDS USD SR 5Y Curncy","Sweden SWED CDS USD SR 5Y D14"
"DENK CDS USD SR 5Y Curncy","Denmark DENK CDS USD SR 5Y D14"
"NETHER CDS USD SR 5Y Curncy","Netherlands NETHER CDS USD SR 5Y D14"
"GERMAN CDS USD SR 5Y Curncy","Germany GERMAN CDS USD SR 5Y D14"
"NORWAY CDS USD SR 5Y Curncy","Norway NORWAY CDS USD SR 5Y D14"
"ARGENT CDS USD SR 5Y Curncy","Argentina ARGENT CDS USD SR 5Y D14"
"TURKEY CDS USD SR 5Y Curncy","Turkey TURKEY CDS USD SR 5Y D14"
"COLOM CDS USD SR 5Y Curncy","Colombia COLOM CDS USD SR 5Y D14"
"REPSOU CDS USD SR 5Y Curncy","South Africa REPSOU CDS USD SR 5Y D14"
"BRAZIL CDS USD SR 5Y Curncy","Brazil BRAZIL CDS USD SR 5Y D14"
"REPHUN CDS USD SR 5Y Curncy","Hungary HUNGARY CDS USD SR 5Y D14"
"MEX CDS USD SR 5Y Curncy","Mexico MEX CDS USD SR 5Y D14"
"SAUDIARAB CDS USD SR 5Y Curncy","Saudi Arabia KSA CDS USD SR 5Y D14"
"POLAND CDS USD SR 5Y Curncy","Poland POLAND CDS USD SR 5Y D14"
"DUGB CDS USD SR 5Y Curncy","United Arab Emirates DUBAI CDS USD SR 5Y D14"
"CHILE CDS USD SR 5Y Curncy","Chile CHILE CDS USD SR 5Y D14"
"CHINAGOV CDS USD SR 5Y Curncy","China CHINAGOV CDS USD SR 5Y D14"
"MALAYS CDS USD SR 5Y Curncy","Malaysia MALAYS CDS USD SR 5Y D14"
"CZECH CDS USD SR 5Y Curncy","Czechia CZECH CDS USD SR 5Y D14"
"KOREA CDS USD SR 5Y Curncy","South Korea KOREA CDS USD SR 5Y D14"
"RUSSIA CDS USD SR 5Y Curncy","Russia RUSSIA CDS USD SR 5Y D14"
"CBNP1E5 Curncy","France BNP CDS EUR SR 5Y D14"
"CBBV1E5 Curncy","Spain BBVA CDS EUR SR 5Y D14"
"CBSH1E5 Curncy","Spain SANTA CDS EUR SR 5Y D14"
"CBAR1E5 Curncy","United Kingdom BARCLAY CDS EUR SR 5Y D14"
"CCMZ1E5 Curncy","Germany CMZB CDS EUR SR 5Y D14"
"CCAI1E5 Curncy","France LCL SA CDS EUR SR 5Y D14"
"CDB1E5 Curncy","Germany DB CDS EUR SR 5Y D14"
"CHSB1E5 Curncy","United Kingdom HSBC BK CDS EUR SR 5Y D14"
"CING1E5 Curncy","Netherlands ING BK CDS EUR SR 5Y D14"
"CBCI1E5 Curncy","Italy ISPIM SPA CDS EUR SR 5Y D14"
"CLOY1E5 Curncy","United Kingdom LLOY CDS EUR SR 5Y D14"
"CRBS1E5 Curncy","United Kingdom NWG CDS EUR SR 5Y D14"
"CNOM1J5 Curncy","Japan NOMURASE CDS JPY SR 5Y D14"
"CSOC1E5 Curncy","France SOCGEN CDS EUR SR 5Y D14"
"CT695702 Curncy","United Kingdom STANLN BK CDS EUR SR 5Y D14"
"CUBS1E5 Curncy","Switzerland UBS AG CDS EUR SR 5Y D14"
"CUNI1E5 Curncy","Italy UCGIM CDS EUR SR 5Y D14"
"CY111205 Curncy","NA America Comm HY 1Y CDSB"
"CY111170 Curncy","NA America Comm IG 1Y CDSB"
"CY111275 Curncy","NA America Cons Disc HY 1Y"
"CY111240 Curncy","NA America Cons Disc IG 1Y"
"CY111345 Curncy","NA America Cons Stap HY 1Y"
"CY111310 Curncy","NA America Cons Stap IG 1Y"
"CY111415 Curncy","NA America Energy HY 1Y CDS"
"CY111380 Curncy","NA America Energy IG 1Y CDS"
"CY111555 Curncy","NA America Fin Sr HY 1Y CDS"
"CY111520 Curncy","NA America Fin Sr IG 1Y CDS"
"CY111450 Curncy","NA America Fin Sub IG 1Y CD"
"CY111625 Curncy","NA America Health HY 1Y CDS"
"CY111590 Curncy","NA America Health IG 1Y CDS"
"CY111660 Curncy","NA America Industrials IG 1"
"CY111135 Curncy","NA America Materials HY 1Y"
"CY111100 Curncy","NA America Materials IG 1Y"
"CY111765 Curncy","NA America Tech HY 1Y CDSB"
"CY111730 Curncy","NA America Tech IG 1Y CDSB"
"CY111835 Curncy","NA America Util HY 1Y CDSB"
"CY111800 Curncy","NA America Util IG 1Y CDSB"
"CY111905 Curncy","NA Asia EXJP Comm IG 1Y CDS"
"CY111940 Curncy","NA Asia EXJP Cons Disc IG 1"
"CY112010 Curncy","NA Asia EXJP Energy IG 1Y C"
"CY112080 Curncy","NA Asia EXJP Fin Sr IG 1Y C"
"CY112045 Curncy","NA Asia EXJP Fin Sub IG 1Y"
"CY113165 Curncy","NA Europe Comm HY 1Y CDSB C"
"CY113130 Curncy","NA Europe Comm IG 1Y CDSB C"
"CY113235 Curncy","NA Europe Cons Disc HY 1Y C"
"CY113200 Curncy","NA Europe Cons Disc IG 1Y C"
"CY113270 Curncy","NA Europe Cons Stap IG 1Y C"
"CY113340 Curncy","NA Europe Energy IG 1Y CDSB"
"CY113515 Curncy","NA Europe Fin Sr HY 1Y CDSB"
"CY113480 Curncy","NA Europe Fin Sr IG 1Y CDSB"
"CY113445 Curncy","NA Europe Fin Sub HY 1Y CDS"
"CY113410 Curncy","NA Europe Fin Sub IG 1Y CDS"
"CY113550 Curncy","NA Europe Health IG 1Y CDSB"
"CY113620 Curncy","NA Europe Industrials IG 1Y"
"CY113095 Curncy","NA Europe Materials HY 1Y C"
"CY113060 Curncy","NA Europe Materials IG 1Y C"
"CY113725 Curncy","NA Europe Tech HY 1Y CDSB C"
"CY113690 Curncy","NA Europe Tech IG 1Y CDSB C"
"CY113760 Curncy","NA Europe Util IG 1Y CDSB C"
"CY112325 Curncy","NA Japan Cons Disc IG 1Y CD"
"CY112360 Curncy","NA Japan Cons Stap IG 1Y CD"
"CY112465 Curncy","NA Japan Fin Sr IG 1Y CDSB"
"CY112430 Curncy","NA Japan Fin Sub IG 1Y CDSB"
"CY112535 Curncy","NA Japan Industrials IG 1Y"
"CY112255 Curncy","NA Japan Materials IG 1Y CD"
"CY112570 Curncy","NA Japan Tech IG 1Y CDSB Co"
"CY112605 Curncy","NA Japan Util IG 1Y CDSB Co"
"CY111210 Curncy","NA America Comm HY 2Y CDSB"
"CY111175 Curncy","NA America Comm IG 2Y CDSB"
"CY111280 Curncy","NA America Cons Disc HY 2Y"
"CY111245 Curncy","NA America Cons Disc IG 2Y"
"CY111350 Curncy","NA America Cons Stap HY 2Y"
"CY111315 Curncy","NA America Cons Stap IG 2Y"
"CY111420 Curncy","NA America Energy HY 2Y CDS"
"CY111385 Curncy","NA America Energy IG 2Y CDS"
"CY111560 Curncy","NA America Fin Sr HY 2Y CDS"
"CY111525 Curncy","NA America Fin Sr IG 2Y CDS"
"CY111455 Curncy","NA America Fin Sub IG 2Y CD"
"CY111630 Curncy","NA America Health HY 2Y CDS"
"CY111595 Curncy","NA America Health IG 2Y CDS"
"CY111665 Curncy","NA America Industrials IG 2"
"CY111140 Curncy","NA America Materials HY 2Y"
"CY111105 Curncy","NA America Materials IG 2Y"
"CY111770 Curncy","NA America Tech HY 2Y CDSB"
"CY111735 Curncy","NA America Tech IG 2Y CDSB"
"CY111840 Curncy","NA America Util HY 2Y CDSB"
"CY111805 Curncy","NA America Util IG 2Y CDSB"
"CY111910 Curncy","NA Asia EXJP Comm IG 2Y CDS"
"CY111945 Curncy","NA Asia EXJP Cons Disc IG 2"
"CY112015 Curncy","NA Asia EXJP Energy IG 2Y C"
"CY112085 Curncy","NA Asia EXJP Fin Sr IG 2Y C"
"CY112050 Curncy","NA Asia EXJP Fin Sub IG 2Y"
"CY113170 Curncy","NA Europe Comm HY 2Y CDSB C"
"CY113135 Curncy","NA Europe Comm IG 2Y CDSB C"
"CY113240 Curncy","NA Europe Cons Disc HY 2Y C"
"CY113205 Curncy","NA Europe Cons Disc IG 2Y C"
"CY113275 Curncy","NA Europe Cons Stap IG 2Y C"
"CY113345 Curncy","NA Europe Energy IG 2Y CDSB"
"CY113520 Curncy","NA Europe Fin Sr HY 2Y CDSB"
"CY113485 Curncy","NA Europe Fin Sr IG 2Y CDSB"
"CY113450 Curncy","NA Europe Fin Sub HY 2Y CDS"
"CY113415 Curncy","NA Europe Fin Sub IG 2Y CDS"
"CY113555 Curncy","NA Europe Health IG 2Y CDSB"
"CY113625 Curncy","NA Europe Industrials IG 2Y"
"CY113100 Curncy","NA Europe Materials HY 2Y C"
"CY113065 Curncy","NA Europe Materials IG 2Y C"
"CY113730 Curncy","NA Europe Tech HY 2Y CDSB C"
"CY113695 Curncy","NA Europe Tech IG 2Y CDSB C"
"CY113765 Curncy","NA Europe Util IG 2Y CDSB C"
"CY112330 Curncy","NA Japan Cons Disc IG 2Y CD"
"CY112365 Curncy","NA Japan Cons Stap IG 2Y CD"
"CY112470 Curncy","NA Japan Fin Sr IG 2Y CDSB"
"CY112435 Curncy","NA Japan Fin Sub IG 2Y CDSB"
"CY112540 Curncy","NA Japan Industrials IG 2Y"
"CY112260 Curncy","NA Japan Materials IG 2Y CD"
"CY112575 Curncy","NA Japan Tech IG 2Y CDSB Co"
"CY112610 Curncy","NA Japan Util IG 2Y CDSB Co"
"CY111215 Curncy","NA America Comm HY 3Y CDSB"
"CY111180 Curncy","NA America Comm IG 3Y CDSB"
"CY111285 Curncy","NA America Cons Disc HY 3Y"
"CY111250 Curncy","NA America Cons Disc IG 3Y"
"CY111355 Curncy","NA America Cons Stap HY 3Y"
"CY111320 Curncy","NA America Cons Stap IG 3Y"
"CY111425 Curncy","NA America Energy HY 3Y CDS"
"CY111390 Curncy","NA America Energy IG 3Y CDS"
"CY111565 Curncy","NA America Fin Sr HY 3Y CDS"
"CY111530 Curncy","NA America Fin Sr IG 3Y CDS"
"CY111460 Curncy","NA America Fin Sub IG 3Y CD"
"CY111635 Curncy","NA America Health HY 3Y CDS"
"CY111600 Curncy","NA America Health IG 3Y CDS"
"CY111670 Curncy","NA America Industrials IG 3"
"CY111145 Curncy","NA America Materials HY 3Y"
"CY111110 Curncy","NA America Materials IG 3Y"
"CY111775 Curncy","NA America Tech HY 3Y CDSB"
"CY111740 Curncy","NA America Tech IG 3Y CDSB"
"CY111845 Curncy","NA America Util HY 3Y CDSB"
"CY111810 Curncy","NA America Util IG 3Y CDSB"
"CY111915 Curncy","NA Asia EXJP Comm IG 3Y CDS"
"CY111950 Curncy","NA Asia EXJP Cons Disc IG 3"
"CY112020 Curncy","NA Asia EXJP Energy IG 3Y C"
"CY112090 Curncy","NA Asia EXJP Fin Sr IG 3Y C"
"CY112055 Curncy","NA Asia EXJP Fin Sub IG 3Y"
"CY113175 Curncy","NA Europe Comm HY 3Y CDSB C"
"CY113140 Curncy","NA Europe Comm IG 3Y CDSB C"
